                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5631,                 3.0195,                 1.3513,                0.81782,                 0.6097,                0.72114,                0.37875,                 1.5441,                 2.8633,                 1.3309,             0.00066359,             0.00066359,             0.00066359
                      2,                 1.4692,                 2.1562,                 1.2401,                0.84323,                 0.8037,                0.87658,                0.47489,                 1.4744,                 1.8705,                 1.2788,             0.00067178,             0.00067178,             0.00067178
